ID,Treatment,Age,TreatmentxAge,Abundance,ASV,Family,Genus
A-1,Algae,Day 01,AlgaeDay 01,0,ASV7,Rhodobacteraceae,Celeribacter
A-15,Algae,Day 15,AlgaeDay 15,9,ASV7,Rhodobacteraceae,Celeribacter
A-3,Algae,Day 03,AlgaeDay 03,0,ASV7,Rhodobacteraceae,Celeribacter
A-6,Algae,Day 06,AlgaeDay 06,229,ASV7,Rhodobacteraceae,Celeribacter
T1-1,Control,Day 01,ControlDay 01,13,ASV7,Rhodobacteraceae,Celeribacter
T1-15,Control,Day 15,ControlDay 15,0,ASV7,Rhodobacteraceae,Celeribacter
T1-3,Control,Day 03,ControlDay 03,34,ASV7,Rhodobacteraceae,Celeribacter
T1-6,Control,Day 06,ControlDay 06,53,ASV7,Rhodobacteraceae,Celeribacter
T1-S-1,Control,Spat,ControlSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T1-S-2,Control,Spat,ControlSpat,8,ASV7,Rhodobacteraceae,Celeribacter
T13-1,Control,Day 01,ControlDay 01,0,ASV7,Rhodobacteraceae,Celeribacter
T13-15,Control,Day 15,ControlDay 15,12,ASV7,Rhodobacteraceae,Celeribacter
T13-2-2,Control,Spat,ControlSpat,7,ASV7,Rhodobacteraceae,Celeribacter
T13-3,Control,Day 03,ControlDay 03,39,ASV7,Rhodobacteraceae,Celeribacter
T13-6,Control,Day 06,ControlDay 06,20,ASV7,Rhodobacteraceae,Celeribacter
T13-S-1,Control,Spat,ControlSpat,19,ASV7,Rhodobacteraceae,Celeribacter
T14-1,Probiotics,Day 01,ProbioticsDay 01,395,ASV7,Rhodobacteraceae,Celeribacter
T14-15,Probiotics,Day 15,ProbioticsDay 15,33,ASV7,Rhodobacteraceae,Celeribacter
T14-2-2,Probiotics,Spat,ProbioticsSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T14-3,Probiotics,Day 03,ProbioticsDay 03,89,ASV7,Rhodobacteraceae,Celeribacter
T14-6,Probiotics,Day 06,ProbioticsDay 06,15,ASV7,Rhodobacteraceae,Celeribacter
T14-S-1,Probiotics,Spat,ProbioticsSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T15-15,Probiotics HT,Day 15,Probiotics HTDay 15,27,ASV7,Rhodobacteraceae,Celeribacter
T15-2,Probiotics HT,Day 01,Probiotics HTDay 01,614,ASV7,Rhodobacteraceae,Celeribacter
T15-3,Probiotics HT,Day 03,Probiotics HTDay 03,113,ASV7,Rhodobacteraceae,Celeribacter
T15-6,Probiotics HT,Day 06,Probiotics HTDay 06,34,ASV7,Rhodobacteraceae,Celeribacter
T15-S-2,Probiotics HT,Spat,Probiotics HTSpat,19,ASV7,Rhodobacteraceae,Celeribacter
T17-15,High temperature,Day 15,High temperatureDay 15,12,ASV7,Rhodobacteraceae,Celeribacter
T17-2,High temperature,Day 01,High temperatureDay 01,145,ASV7,Rhodobacteraceae,Celeribacter
T17-3,High temperature,Day 03,High temperatureDay 03,262,ASV7,Rhodobacteraceae,Celeribacter
T17-6,High temperature,Day 06,High temperatureDay 06,10,ASV7,Rhodobacteraceae,Celeribacter
T19-3,Control,Day 03,ControlDay 03,296,ASV7,Rhodobacteraceae,Celeribacter
T19-6,Control,Day 06,ControlDay 06,14,ASV7,Rhodobacteraceae,Celeribacter
T2-1,Probiotics,Day 01,ProbioticsDay 01,1245,ASV7,Rhodobacteraceae,Celeribacter
T2-15,Probiotics,Day 15,ProbioticsDay 15,0,ASV7,Rhodobacteraceae,Celeribacter
T2-3,Probiotics,Day 03,ProbioticsDay 03,101,ASV7,Rhodobacteraceae,Celeribacter
T2-6,Probiotics,Day 06,ProbioticsDay 06,23,ASV7,Rhodobacteraceae,Celeribacter
T2-S-1,Probiotics,Spat,ProbioticsSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T2-S-2,Probiotics,Spat,ProbioticsSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T20-1,Probiotics,Day 01,ProbioticsDay 01,1221,ASV7,Rhodobacteraceae,Celeribacter
T20-15,Probiotics,Day 15,ProbioticsDay 15,0,ASV7,Rhodobacteraceae,Celeribacter
T20-3,Probiotics,Day 03,ProbioticsDay 03,229,ASV7,Rhodobacteraceae,Celeribacter
T20-6,Probiotics,Day 06,ProbioticsDay 06,20,ASV7,Rhodobacteraceae,Celeribacter
T20-S-1,Probiotics,Spat,ProbioticsSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T20-S-2,Probiotics,Spat,ProbioticsSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T21-1,Probiotics HT,Day 01,Probiotics HTDay 01,389,ASV7,Rhodobacteraceae,Celeribacter
T21-15,Probiotics HT,Day 15,Probiotics HTDay 15,5,ASV7,Rhodobacteraceae,Celeribacter
T21-3,Probiotics HT,Day 03,Probiotics HTDay 03,120,ASV7,Rhodobacteraceae,Celeribacter
T21-6,Probiotics HT,Day 06,Probiotics HTDay 06,31,ASV7,Rhodobacteraceae,Celeribacter
T21-S-1,Probiotics HT,Spat,Probiotics HTSpat,5,ASV7,Rhodobacteraceae,Celeribacter
T21-S-2,Probiotics HT,Spat,Probiotics HTSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T3-1,Probiotics HT,Day 01,Probiotics HTDay 01,1341,ASV7,Rhodobacteraceae,Celeribacter
T3-15,Probiotics HT,Day 15,Probiotics HTDay 15,0,ASV7,Rhodobacteraceae,Celeribacter
T3-3,Probiotics HT,Day 03,Probiotics HTDay 03,91,ASV7,Rhodobacteraceae,Celeribacter
T3-6,Probiotics HT,Day 06,Probiotics HTDay 06,28,ASV7,Rhodobacteraceae,Celeribacter
T3-S-1,Probiotics HT,Spat,Probiotics HTSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T3-S-2,Probiotics HT,Spat,Probiotics HTSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T7-15,Control,Day 15,ControlDay 15,13,ASV7,Rhodobacteraceae,Celeribacter
T7-3,Control,Day 03,ControlDay 03,138,ASV7,Rhodobacteraceae,Celeribacter
T7-6,Control,Day 06,ControlDay 06,34,ASV7,Rhodobacteraceae,Celeribacter
T7-S-1,Control,Spat,ControlSpat,1,ASV7,Rhodobacteraceae,Celeribacter
T7-S-2,Control,Spat,ControlSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T8-1,Probiotics,Day 01,ProbioticsDay 01,836,ASV7,Rhodobacteraceae,Celeribacter
T8-15,Probiotics,Day 15,ProbioticsDay 15,0,ASV7,Rhodobacteraceae,Celeribacter
T8-3,Probiotics,Day 03,ProbioticsDay 03,182,ASV7,Rhodobacteraceae,Celeribacter
T8-6,Probiotics,Day 06,ProbioticsDay 06,22,ASV7,Rhodobacteraceae,Celeribacter
T8-S-1,Probiotics,Spat,ProbioticsSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T8-S-2,Probiotics,Spat,ProbioticsSpat,21,ASV7,Rhodobacteraceae,Celeribacter
T9-1,Probiotics HT,Day 01,Probiotics HTDay 01,838,ASV7,Rhodobacteraceae,Celeribacter
T9-15,Probiotics HT,Day 15,Probiotics HTDay 15,0,ASV7,Rhodobacteraceae,Celeribacter
T9-3,Probiotics HT,Day 03,Probiotics HTDay 03,140,ASV7,Rhodobacteraceae,Celeribacter
T9-6,Probiotics HT,Day 06,Probiotics HTDay 06,46,ASV7,Rhodobacteraceae,Celeribacter
T9-S-1,Probiotics HT,Spat,Probiotics HTSpat,9,ASV7,Rhodobacteraceae,Celeribacter
T9-S-2,Probiotics HT,Spat,Probiotics HTSpat,0,ASV7,Rhodobacteraceae,Celeribacter
A-1,Algae,Day 01,AlgaeDay 01,0,ASV18,Rhodobacteraceae,Celeribacter
A-15,Algae,Day 15,AlgaeDay 15,0,ASV18,Rhodobacteraceae,Celeribacter
A-3,Algae,Day 03,AlgaeDay 03,0,ASV18,Rhodobacteraceae,Celeribacter
A-6,Algae,Day 06,AlgaeDay 06,85,ASV18,Rhodobacteraceae,Celeribacter
T1-1,Control,Day 01,ControlDay 01,0,ASV18,Rhodobacteraceae,Celeribacter
T1-15,Control,Day 15,ControlDay 15,0,ASV18,Rhodobacteraceae,Celeribacter
T1-3,Control,Day 03,ControlDay 03,24,ASV18,Rhodobacteraceae,Celeribacter
T1-6,Control,Day 06,ControlDay 06,24,ASV18,Rhodobacteraceae,Celeribacter
T1-S-1,Control,Spat,ControlSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T1-S-2,Control,Spat,ControlSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T13-1,Control,Day 01,ControlDay 01,0,ASV18,Rhodobacteraceae,Celeribacter
T13-15,Control,Day 15,ControlDay 15,0,ASV18,Rhodobacteraceae,Celeribacter
T13-2-2,Control,Spat,ControlSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T13-3,Control,Day 03,ControlDay 03,42,ASV18,Rhodobacteraceae,Celeribacter
T13-6,Control,Day 06,ControlDay 06,0,ASV18,Rhodobacteraceae,Celeribacter
T13-S-1,Control,Spat,ControlSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T14-1,Probiotics,Day 01,ProbioticsDay 01,180,ASV18,Rhodobacteraceae,Celeribacter
T14-15,Probiotics,Day 15,ProbioticsDay 15,25,ASV18,Rhodobacteraceae,Celeribacter
T14-2-2,Probiotics,Spat,ProbioticsSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T14-3,Probiotics,Day 03,ProbioticsDay 03,38,ASV18,Rhodobacteraceae,Celeribacter
T14-6,Probiotics,Day 06,ProbioticsDay 06,0,ASV18,Rhodobacteraceae,Celeribacter
T14-S-1,Probiotics,Spat,ProbioticsSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T15-15,Probiotics HT,Day 15,Probiotics HTDay 15,0,ASV18,Rhodobacteraceae,Celeribacter
T15-2,Probiotics HT,Day 01,Probiotics HTDay 01,253,ASV18,Rhodobacteraceae,Celeribacter
T15-3,Probiotics HT,Day 03,Probiotics HTDay 03,59,ASV18,Rhodobacteraceae,Celeribacter
T15-6,Probiotics HT,Day 06,Probiotics HTDay 06,0,ASV18,Rhodobacteraceae,Celeribacter
T15-S-2,Probiotics HT,Spat,Probiotics HTSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T17-15,High temperature,Day 15,High temperatureDay 15,0,ASV18,Rhodobacteraceae,Celeribacter
T17-2,High temperature,Day 01,High temperatureDay 01,81,ASV18,Rhodobacteraceae,Celeribacter
T17-3,High temperature,Day 03,High temperatureDay 03,149,ASV18,Rhodobacteraceae,Celeribacter
T17-6,High temperature,Day 06,High temperatureDay 06,10,ASV18,Rhodobacteraceae,Celeribacter
T19-3,Control,Day 03,ControlDay 03,154,ASV18,Rhodobacteraceae,Celeribacter
T19-6,Control,Day 06,ControlDay 06,0,ASV18,Rhodobacteraceae,Celeribacter
T2-1,Probiotics,Day 01,ProbioticsDay 01,568,ASV18,Rhodobacteraceae,Celeribacter
T2-15,Probiotics,Day 15,ProbioticsDay 15,0,ASV18,Rhodobacteraceae,Celeribacter
T2-3,Probiotics,Day 03,ProbioticsDay 03,47,ASV18,Rhodobacteraceae,Celeribacter
T2-6,Probiotics,Day 06,ProbioticsDay 06,0,ASV18,Rhodobacteraceae,Celeribacter
T2-S-1,Probiotics,Spat,ProbioticsSpat,3,ASV18,Rhodobacteraceae,Celeribacter
T2-S-2,Probiotics,Spat,ProbioticsSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T20-1,Probiotics,Day 01,ProbioticsDay 01,498,ASV18,Rhodobacteraceae,Celeribacter
T20-15,Probiotics,Day 15,ProbioticsDay 15,0,ASV18,Rhodobacteraceae,Celeribacter
T20-3,Probiotics,Day 03,ProbioticsDay 03,138,ASV18,Rhodobacteraceae,Celeribacter
T20-6,Probiotics,Day 06,ProbioticsDay 06,21,ASV18,Rhodobacteraceae,Celeribacter
T20-S-1,Probiotics,Spat,ProbioticsSpat,11,ASV18,Rhodobacteraceae,Celeribacter
T20-S-2,Probiotics,Spat,ProbioticsSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T21-1,Probiotics HT,Day 01,Probiotics HTDay 01,162,ASV18,Rhodobacteraceae,Celeribacter
T21-15,Probiotics HT,Day 15,Probiotics HTDay 15,0,ASV18,Rhodobacteraceae,Celeribacter
T21-3,Probiotics HT,Day 03,Probiotics HTDay 03,47,ASV18,Rhodobacteraceae,Celeribacter
T21-6,Probiotics HT,Day 06,Probiotics HTDay 06,14,ASV18,Rhodobacteraceae,Celeribacter
T21-S-1,Probiotics HT,Spat,Probiotics HTSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T21-S-2,Probiotics HT,Spat,Probiotics HTSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T3-1,Probiotics HT,Day 01,Probiotics HTDay 01,656,ASV18,Rhodobacteraceae,Celeribacter
T3-15,Probiotics HT,Day 15,Probiotics HTDay 15,12,ASV18,Rhodobacteraceae,Celeribacter
T3-3,Probiotics HT,Day 03,Probiotics HTDay 03,40,ASV18,Rhodobacteraceae,Celeribacter
T3-6,Probiotics HT,Day 06,Probiotics HTDay 06,0,ASV18,Rhodobacteraceae,Celeribacter
T3-S-1,Probiotics HT,Spat,Probiotics HTSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T3-S-2,Probiotics HT,Spat,Probiotics HTSpat,16,ASV18,Rhodobacteraceae,Celeribacter
T7-15,Control,Day 15,ControlDay 15,0,ASV18,Rhodobacteraceae,Celeribacter
T7-3,Control,Day 03,ControlDay 03,46,ASV18,Rhodobacteraceae,Celeribacter
T7-6,Control,Day 06,ControlDay 06,0,ASV18,Rhodobacteraceae,Celeribacter
T7-S-1,Control,Spat,ControlSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T7-S-2,Control,Spat,ControlSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T8-1,Probiotics,Day 01,ProbioticsDay 01,382,ASV18,Rhodobacteraceae,Celeribacter
T8-15,Probiotics,Day 15,ProbioticsDay 15,0,ASV18,Rhodobacteraceae,Celeribacter
T8-3,Probiotics,Day 03,ProbioticsDay 03,106,ASV18,Rhodobacteraceae,Celeribacter
T8-6,Probiotics,Day 06,ProbioticsDay 06,0,ASV18,Rhodobacteraceae,Celeribacter
T8-S-1,Probiotics,Spat,ProbioticsSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T8-S-2,Probiotics,Spat,ProbioticsSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T9-1,Probiotics HT,Day 01,Probiotics HTDay 01,327,ASV18,Rhodobacteraceae,Celeribacter
T9-15,Probiotics HT,Day 15,Probiotics HTDay 15,0,ASV18,Rhodobacteraceae,Celeribacter
T9-3,Probiotics HT,Day 03,Probiotics HTDay 03,76,ASV18,Rhodobacteraceae,Celeribacter
T9-6,Probiotics HT,Day 06,Probiotics HTDay 06,0,ASV18,Rhodobacteraceae,Celeribacter
T9-S-1,Probiotics HT,Spat,Probiotics HTSpat,0,ASV18,Rhodobacteraceae,Celeribacter
T9-S-2,Probiotics HT,Spat,Probiotics HTSpat,0,ASV18,Rhodobacteraceae,Celeribacter
A-1,Algae,Day 01,AlgaeDay 01,0,ASV88,Rhodobacteraceae,Yoonia-Loktanella
A-15,Algae,Day 15,AlgaeDay 15,0,ASV88,Rhodobacteraceae,Yoonia-Loktanella
